ID,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG_PCT.1,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Height,Position,Weight
203484,31.0,28,852.0,79,200,0.395,40,132,0.395,31,35,0.886,0.3928571428571428,1.6428571428571428,2.0357142857142856,1.8571428571428568,1.6071428571428572,0.5714285714285714,23,60,8.178571428571429,77,Guard,204.0
1641739,24.0,26,790.0,88,208,0.423,41,111,0.423,20,28,0.714,2.076923076923077,3.0384615384615383,5.115384615384615,2.076923076923077,1.3846153846153846,0.5,41,75,9.115384615384617,79,Forward,229.0
203991,30.0,28,643.0,126,217,0.581,0,0,0.581,29,54,0.537,3.642857142857143,5.75,9.392857142857142,1.2857142857142858,0.6071428571428571,1.0357142857142858,23,58,10.035714285714286,82,Center,256.0
1642382,25.0,5,18.0,1,7,0.143,0,5,0.143,2,2,1.0,0.6,1.0,1.6,0.4,0.2,0.2,0,1,0.8,84,Center,220.0
1642267,19.0,25,732.0,81,211,0.384,36,112,0.384,20,25,0.8,0.4,4.16,4.56,3.96,0.92,0.28,49,78,8.72,76,Guard,190.0
1628975,29.0,11,53.0,7,23,0.304,4,16,0.304,0,0,0.0,0.0909090909090909,0.6363636363636364,0.7272727272727273,0.5454545454545454,0.2727272727272727,0.0,4,1,1.6363636363636365,73,Guard,200.0
1628976,25.0,16,419.0,39,82,0.476,5,33,0.476,35,47,0.745,1.9375,6.0,7.9375,2.375,0.875,0.5625,13,44,7.375,82,Center-Forward,270.0
1630618,24.0,4,33.0,1,7,0.143,0,3,0.143,1,1,1.0,0.0,1.0,1.0,0.75,0.5,0.0,4,1,0.75,75,Guard,200.0
1627936,30.0,18,358.0,40,104,0.385,17,61,0.385,7,9,0.778,0.5555555555555556,2.388888888888889,2.9444444444444446,2.2222222222222223,1.8888888888888888,0.5555555555555556,13,40,5.777777777777778,77,Guard,186.0
1642264,20.0,26,702.0,104,277,0.375,29,108,0.375,63,86,0.733,0.7307692307692307,1.807692307692308,2.5384615384615383,3.8461538461538463,0.8846153846153846,0.3846153846153846,49,43,11.538461538461538,78,Guard,215.0
1630658,24.0,8,22.0,1,4,0.25,0,2,0.25,8,8,1.0,0.25,0.625,0.875,0.0,0.0,0.125,0,3,1.25,82,Center,250.0
1630577,23.0,27,797.0,117,274,0.427,70,197,0.427,36,40,0.9,0.8518518518518519,4.25925925925926,5.111111111111111,1.4814814814814814,0.8888888888888888,0.5925925925925926,28,43,12.592592592592592,79,Forward,217.0
1630551,23.0,8,207.0,36,65,0.554,9,27,0.554,8,12,0.667,2.625,4.0,6.625,1.375,1.375,0.625,7,18,11.125,78,Guard-Forward,206.0
1642279,18.0,1,5.0,1,1,1.0,0,0,1.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,2.0,83,Center,235.0
1642353,19.0,1,18.0,2,7,0.286,1,4,0.286,0,0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,1,0,5.0,78,Guard,190.0
1631108,21.0,25,508.0,48,115,0.417,17,53,0.417,41,48,0.854,0.72,1.56,2.28,1.28,0.76,0.4,20,36,6.16,77,Guard,190.0
1630528,21.0,64,786.0,153,329,0.465,21,89,0.465,45,60,0.75,0.3125,0.796875,1.109375,1.140625,0.515625,0.234375,60,59,5.8125,76,Guard,215.0
1631321,20.0,11,33.0,4,9,0.444,3,4,0.444,0,4,0.0,0.1818181818181818,0.5454545454545454,0.7272727272727273,0.4545454545454545,0.0,0.0,1,4,1.0,78,Guard,200.0
1629634,28.0,27,505.0,95,155,0.613,1,16,0.613,13,22,0.591,1.7037037037037035,3.4814814814814814,5.185185185185185,1.037037037037037,0.7777777777777778,0.4444444444444444,14,55,7.555555555555555,80,Forward,215.0
203903,32.0,16,405.0,83,206,0.403,30,95,0.403,45,56,0.804,0.625,2.6875,3.3125,3.8125,0.875,0.1875,39,24,15.0625,75,Guard,194.0
1629651,25.0,21,516.0,89,143,0.622,1,4,0.622,20,43,0.465,1.9523809523809523,5.476190476190476,7.428571428571429,2.142857142857143,0.7142857142857143,1.1904761904761905,24,50,9.476190476190476,83,Center,215.0
1642270,20.0,19,324.0,48,91,0.527,3,12,0.527,16,22,0.727,3.1578947368421053,3.684210526315789,6.842105263157895,0.5263157894736842,0.4736842105263157,2.0526315789473686,23,59,6.052631578947368,86,Center,280.0
1641730,20.0,18,320.0,45,118,0.381,29,81,0.381,18,24,0.75,0.8888888888888888,2.555555555555556,3.4444444444444446,0.6666666666666666,0.2777777777777778,0.6666666666666666,14,52,7.611111111111111,81,Forward-Center,210.0
1629599,27.0,27,664.0,102,203,0.502,46,106,0.502,35,43,0.814,0.5925925925925926,2.0,2.592592592592593,1.2962962962962965,0.5925925925925926,0.074074074074074,19,43,10.555555555555555,79,Guard-Forward,210.0
1642268,20.0,18,302.0,23,74,0.311,4,29,0.311,8,18,0.444,0.0555555555555555,1.6111111111111112,1.6666666666666667,3.1666666666666665,0.8888888888888888,0.1666666666666666,40,30,3.2222222222222223,75,Guard,210.0
1628381,27.0,25,744.0,163,308,0.529,36,82,0.529,85,95,0.895,2.24,5.88,8.12,2.52,1.12,0.88,62,73,17.88,81,Forward-Center,226.0
1628380,27.0,24,341.0,50,105,0.476,12,36,0.476,28,32,0.875,1.1666666666666667,2.1666666666666665,3.333333333333333,1.75,0.4583333333333333,0.5,21,53,5.833333333333333,83,Forward-Center,250.0
201144,37.0,21,541.0,56,161,0.348,41,112,0.348,30,33,0.909,0.5714285714285714,2.523809523809524,3.095238095238096,4.714285714285714,1.4761904761904765,0.238095238095238,30,34,8.714285714285714,72,Guard,175.0
